"","관측소명","GENNUM","관측소표준코드","최초설치","구분","설치년도","경도.도","경도.분","경도.초","위도.도","위도.분","위도.초","표고.El.m.","심도.m.","경도","위도"
"178","영암덕화",737650,"JN-YAM-E1-0006","수질","심부2",2017,126,38,10.56,34,50,7.08,6.98,80,126.6362667,34.8353
"179","영암덕화",737649,"JN-YAM-E1-0004","수질","천부",2017,126,38,10.56,34,50,7.08,6.98,10,126.6362667,34.8353
"180","영암미암",615519,"JN-YAM-L1-0003","국가","암반",2013,126,34,59,34,41,50,23.53,100,126.5829694,34.69708611
"181","영암미암",615520,"JN-YAM-L1-0004","국가","충적",2013,126,34,59,34,41,49,23.55,25,126.5829694,34.69708611
"182","영암영암",514306,"JN-YAM-L1-0001","국가","암반",2010,126,42,36,34,48,25,8.38,100,126.7079861,34.81016944
"183","영암영암",514307,"JN-YAM-L1-0002","국가","충적",2010,126,42,36,34,48,25,8.38,18,126.7079861,34.81016944
"184","영암옥야",NA,"JN-YAM-E1-0002","수질","심부1",2014,126,35,14.04,34,53,44.99,10,33,126.5872333,34.89583056
"185","영암옥야",737652,"JN-YAM-E1-0003","수질","심부2",2014,126,35,14.04,34,53,44.99,10,85,126.5872333,34.89583056
"186","영암옥야",737651,"JN-YAM-E1-0001","수질","천부",2014,126,35,14.04,34,53,44.99,10,10,126.5872333,34.89583056
"187","영암용앙",NA,"JN-YAM-E1-0017","수질","심부1",2018,126,28,8.76,34,44,59.61,17.375,33,126.4691,34.74989167
"188","영암용앙",769805,"JN-YAM-E1-0018","수질","심부2",2018,126,28,8.76,34,44,59.61,17.338,90,126.4691,34.74989167
"189","영암용앙",769806,"JN-YAM-E1-0016","수질","천부",2018,126,28,8.76,34,44,59.61,17.425,15,126.4691,34.74989167
"190","영암장천",NA,"JN-YAM-E1-0008","수질","심부1",2017,126,34,54.04,34,45,19.35,18.14,30,126.5816778,34.755375
"191","영암장천",737654,"JN-YAM-E1-0009","수질","심부2",2017,126,34,54.04,34,45,19.35,18.14,80,126.5816778,34.755375
"192","영암장천",737653,"JN-YAM-E1-0007","수질","천부",2017,126,34,54.04,34,45,19.35,18.14,10,126.5816778,34.755375
"193","영암학산",615521,"JN-YAM-L1-0005","국가","암반",2013,126,35,6,34,43,40,33.23,100,126.58505,34.72788056
"194","영암회문",737655,"JN-YAM-E1-0011","수질","심부1",2018,126,41,7.44,34,47,35.93,23.265,30,126.6854,34.79331389
"195","영암회문",737656,"JN-YAM-E1-0012","수질","심부2",2018,126,41,7.44,34,47,35.93,23.235,70.5,126.6854,34.79331389
"196","영암회문",NA,"JN-YAM-E1-0010","수질","천부",2018,126,41,7.44,34,47,35.93,23.248,10,126.6854,34.79331389
"197","완도가용",NA,"JN-WDO-E1-0005","수질","심부1",2018,126,44,2.18,34,19,9.64,4.312,35,126.7339389,34.31934444
"198","완도가용",737664,"JN-WDO-E1-0006","수질","심부2",2018,126,44,2.18,34,19,9.64,4.347,80,126.7339389,34.31934444
"199","완도가용",737663,"JN-WDO-E1-0004","수질","천부",2018,126,44,2.18,34,19,9.64,4.276,21,126.7339389,34.31934444
