"","관측소명","GENNUM","관측소표준코드","최초설치","구분","설치년도","경도.도","경도.분","경도.초","위도.도","위도.분","위도.초","표고.El.m.","심도.m.","경도","위도"
"23","고창해리",718277,"JB-GOC-L1-0009","국가","암반",2018,126,31,51.79,35,28,4.75,12.91,100,126.5310528,35.46798611
"24","고흥고흥",771370,"","국가","암반",NA,NA,NA,NA,NA,NA,NA,NA,NA,127.2373722,34.60643611
"25","고흥과역",771369,"","국가","암반",NA,NA,NA,NA,NA,NA,NA,NA,NA,127.4158528,34.66521389
"26","고흥남양",771371,"","국가","암반",2021,NA,NA,NA,NA,NA,NA,NA,NA,127.3562889,34.70423611
"27","고흥대서",65006,"JN-GHG-L1-0001","국가","암반",1998,127,17,2,34,46,8,12.8,71,127.2848056,34.77201111
"28","고흥봉래",771368,"","국가","암반",NA,NA,NA,NA,NA,NA,NA,NA,NA,127.4912222,34.41918611
"29","고흥야막",NA,"JN-GHG-E1-0005","수질","심부1",2018,NA,NA,NA,NA,NA,NA,74.479,40,127.2383417,34.57213056
"30","고흥야막",771423,"JN-GHG-E1-0006","수질","심부2",2018,NA,NA,NA,NA,NA,NA,74.483,80,127.2383417,34.57213056
"31","고흥야막",771424,"JN-GHG-E1-0004","수질","천부",2018,NA,NA,NA,NA,NA,NA,74.475,18,127.2383417,34.57213056
"32","고흥영남",601715,"JN-GHG-L1-0002","국가","암반",2011,127,28,2,34,36,24,37.52,100,127.4672222,34.60666667
"33","곡성고달",73525,"JN-GKS-L1-0003","국가","암반",2001,127,19,58,35,16,21,54,70,127.3309139,35.27563333
"34","곡성고달",73526,"JN-GKS-L1-0004","국가","충적",2001,127,19,58,35,16,21,54,18.52,127.3309139,35.27563333
"35","곡성곡성",622074,"JN-GKS-L1-0007","국가","암반",2014,127,15,42,35,14,58,101.06,100,127.2616667,35.24944444
"36","곡성동계",NA,"JN-GKS-E1-0002","수질","심부1",2017,127,21,40.09,35,9,13.64,70.2,33,127.3611361,35.15378889
